GEO_ID,NAME,P002001,P002001ERR,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002013,P002014,P002015,P002016,P002017,P002018,P002019,P002020,P002021,P002022,P002023,P002024,P002025,P002026,P002027,P002028,P002029,P002030,P002031,P002032,P002033,P002034,P002035,P002036,P002037,P002038,P002039,P002040,P002041,P002042,P002043,P002044,P002045,P002046,P002047,P002048,P002049,P002050,P002051,P002052,P002053,P002054,P002055,P002056,P002057,P002058,P002059,P002060,P002061,P002062,P002063,P002064,P002065,P002066,P002067,P002068,P002069,P002070,P002071,P002072,P002073
1400000US17031800800,"Census Tract 8008, Cook County, Illinois",2206,null,72,2134,2120,1863,17,1,234,1,4,14,13,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031800900,"Census Tract 8009, Cook County, Illinois",4416,null,266,4150,4028,2763,60,1,1198,0,6,122,121,14,0,78,2,3,1,6,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801000,"Census Tract 8010, Cook County, Illinois",4908,null,162,4746,4662,3796,37,0,811,0,18,84,81,3,8,62,2,3,0,0,0,0,2,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801100,"Census Tract 8011, Cook County, Illinois",4715,null,117,4598,4484,4215,29,7,212,1,20,114,105,5,1,93,1,1,1,1,0,0,1,0,0,1,0,0,9,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801200,"Census Tract 8012, Cook County, Illinois",3547,null,47,3500,3469,3352,14,0,98,0,5,31,31,0,9,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801300,"Census Tract 8013, Cook County, Illinois",4283,null,152,4131,4058,3789,52,2,206,2,7,73,71,7,7,54,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801400,"Census Tract 8014, Cook County, Illinois",2919,null,103,2816,2771,2291,45,2,422,0,11,45,44,8,2,29,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801500,"Census Tract 8015, Cook County, Illinois",5928,null,185,5743,5681,5112,92,1,463,3,10,62,59,8,1,44,0,1,0,1,0,0,0,0,0,0,4,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801601,"Census Tract 8016.01, Cook County, Illinois",4234,null,123,4111,4072,3561,12,0,496,1,2,39,39,0,2,34,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801603,"Census Tract 8016.03, Cook County, Illinois",3855,null,330,3525,3446,2165,131,0,1139,5,6,79,77,12,2,32,12,0,0,2,1,1,1,0,0,1,13,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
